declarationDate,disasterName,stateCode,stateName,declarationRequestDate,Days Diff,Quarter
2024-10-21T00:00:00.000Z,SEVERE STORM AND FLOODING,NY,New York,2024-09-18T00:00:00.000Z,32,4
2024-10-24T00:00:00.000Z,HAWTHORNE FIRE,CT,Connecticut,2024-10-24T00:00:00.000Z,0,4
2024-10-25T00:00:00.000Z,TROPICAL STORM ERNESTO,VI,Virgin Islands of the U.S.,2024-09-13T00:00:00.000Z,42,4
2024-10-25T00:00:00.000Z,FLOODING,AZ,Arizona,2024-09-20T00:00:00.000Z,35,4
2024-10-30T00:00:00.000Z,NORTH ROAD FIRE,OK,Oklahoma,2024-10-29T00:00:00.000Z,1,4
2024-10-30T00:00:00.000Z,EUCHEE CREEK FIRE,OK,Oklahoma,2024-10-29T00:00:00.000Z,1,4
2024-11-01T00:00:00.000Z,SEVERE STORM AND FLOODING,NM,New Mexico,2024-10-28T00:00:00.000Z,4,4
2024-11-01T00:00:00.000Z,"SEVERE STORM, STRAIGHT-LINE WINDS, AND FLOODING",SD,South Dakota,2024-09-12T00:00:00.000Z,50,4
2024-11-05T00:00:00.000Z,HURRICANE MILTON,FL,Florida,2024-10-25T00:00:00.000Z,11,4
2024-11-06T00:00:00.000Z,MOUNTAIN FIRE,CA,California,2024-11-06T00:00:00.000Z,0,4
2024-11-11T00:00:00.000Z,CALLAHAN FIRE,NV,Nevada,2024-11-11T00:00:00.000Z,0,4
2024-11-13T00:00:00.000Z,LANDSLIDES,AK,Alaska,2024-10-24T00:00:00.000Z,20,4
2024-11-13T00:00:00.000Z,WILDFIRES,WY,Wyoming,2024-10-16T00:00:00.000Z,28,4
2024-11-14T00:00:00.000Z,SEVERE STORM AND STRAIGHT-LINE WINDS,MT,Montana,2024-10-05T00:00:00.000Z,40,4
2024-11-15T00:00:00.000Z,JENNINGS CREEK FIRE,NY,New York,2024-11-14T00:00:00.000Z,1,4
2024-11-26T00:00:00.000Z,WILDFIRES,WA,Washington,2024-10-16T00:00:00.000Z,41,4
2024-11-26T00:00:00.000Z,REMNANTS OF HURRICANE HELENE,KY,Kentucky,2024-10-24T00:00:00.000Z,33,4
2024-11-27T00:00:00.000Z,TROPICAL STORM ERNESTO,PR,Puerto Rico,2024-10-15T00:00:00.000Z,43,4
2024-12-09T00:00:00.000Z,POST-TROPICAL STORM HELENE,WV,West Virginia,2024-10-25T00:00:00.000Z,45,4
2024-12-10T00:00:00.000Z,FRANKLIN FIRE,CA,California,2024-12-10T00:00:00.000Z,0,4
2024-12-24T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,ND,North Dakota,2024-11-21T00:00:00.000Z,33,4
2025-01-08T00:00:00.000Z,EATON FIRE,CA,California,2025-01-07T00:00:00.000Z,1,1
2025-01-10T00:00:00.000Z,SEVERE STORMS AND FLOODING,SC,South Carolina,2024-12-13T00:00:00.000Z,28,1
2025-01-10T00:00:00.000Z,SEVERE STORM AND FLOODING,AK,Alaska,2024-11-04T00:00:00.000Z,67,1
2025-01-15T00:00:00.000Z,SEVERE STORM AND FLOODING,AK,Alaska,2024-12-16T00:00:00.000Z,30,1
2025-02-16T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES",KY,Kentucky,2025-02-15T00:00:00.000Z,1,1
2025-02-24T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",KY,Kentucky,2025-02-17T00:00:00.000Z,7,1
2025-02-26T00:00:00.000Z,"SEVERE STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WV,West Virginia,2025-02-17T00:00:00.000Z,9,1
2025-03-04T00:00:00.000Z,WELDER FIRE,TX,Texas,2025-03-04T00:00:00.000Z,0,1
2025-03-05T00:00:00.000Z,DUKE FIRE,TX,Texas,2025-03-04T00:00:00.000Z,1,1
2025-03-07T00:00:00.000Z,COVINGTON DRIVE FIRE,SC,South Carolina,2025-03-07T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,YATES CENTER FIRE,KS,Kansas,2025-03-14T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,REST AREA FIRE,TX,Texas,2025-03-14T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,840 ROAD FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,LUTHER FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,LOGAN FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,LITTLE SALT CREEK FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,CHANDLER FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,0,1
2025-03-14T00:00:00.000Z,STILLWATER FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,0,1
2025-03-15T00:00:00.000Z,CRABAPPLE FIRE,TX,Texas,2025-03-15T00:00:00.000Z,0,1
2025-03-15T00:00:00.000Z,BARN FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,1,1
2025-03-15T00:00:00.000Z,KEYSTONE FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,1,1
2025-03-15T00:00:00.000Z,CLEAR POND FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,1,1
2025-03-15T00:00:00.000Z,WILDHORSE FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,1,1
2025-03-15T00:00:00.000Z,NORGE FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,1,1
2025-03-15T00:00:00.000Z,UNDERWOOD FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,1,1
2025-03-15T00:00:00.000Z,EAST THUNDERBIRD FIRE,OK,Oklahoma,2025-03-14T00:00:00.000Z,1,1
2025-03-18T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",OK,Oklahoma,2024-12-20T00:00:00.000Z,88,1
2025-03-18T00:00:00.000Z,DOUBLE S FIRE,TX,Texas,2025-03-18T00:00:00.000Z,0,1
2025-03-19T00:00:00.000Z,328 FIRE,OK,Oklahoma,2025-03-19T00:00:00.000Z,0,1
2025-03-20T00:00:00.000Z,PAULINE ROAD FIRE,TX,Texas,2025-03-19T00:00:00.000Z,1,1
2025-03-22T00:00:00.000Z,BLACK COVE FIRE COMPLEX,NC,North Carolina,2025-03-22T00:00:00.000Z,0,1
2025-03-23T00:00:00.000Z,TABLE ROCK FIRE,SC,South Carolina,2025-03-23T00:00:00.000Z,0,1
2025-03-23T00:00:00.000Z,TABLE ROCK FIRE COMPLEX,SC,South Carolina,2025-03-23T00:00:00.000Z,0,1
